Date,Price,Open,High,Low,Change %
24-Jun-19,39723000,40094000,40512000,38021000,0.26%
21-Jun-19,40666000,39722000,40888000,38955000,0.67%
20-Jun-19,39160000,40666000,40710000,38542000,0.59%
19-Jun-19,37835000,39161000,39446000,36654000,0.29%
18-Jun-19,38721000,37802000,39300000,37802000,-0.22%
17-Jun-19,38577000,38717000,39321000,37935000,0.08%
14-Jun-19,37982000,38496000,38556000,37001000,-0.60%
13-Jun-19,38940000,37982000,39155000,37259000,-0.11%
12-Jun-19,38350000,38954000,39075000,38150000,-0.38%
11-Jun-19,38471000,38350000,38800000,38040000,0.15%
10-Jun-19,39862000,38463000,39990000,38267000,-0.16%
07-Jun-19,41380000,39862000,41900000,39336000,0.51%
06-Jun-19,41067000,41380000,42480000,40510000,0.49%
05-Jun-19,42095000,41067000,42796000,40771000,-0.28%
04-Jun-19,42150000,42095000,42580000,41682000,0.10%
03-Jun-19,43418000,42150000,43998000,41682000,0.64%
31-May-19,43565000,43449000,43677000,42986000,0.34%
30-May-19,42735000,43565000,43623000,42000000,0.00%
29-May-19,41850000,42787000,43199000,41423000,-0.26%
28-May-19,41630000,41851000,42310000,40941000,-0.35%
27-May-19,41655000,41630000,42400000,41430000,-0.04%
24-May-19,39458000,41655000,41700000,39149000,0.21%
23-May-19,39194000,39496000,40065000,38690000,0.24%
22-May-19,40952000,39184000,41120000,38972000,-0.06%
21-May-19,40448000,40951000,41800000,39994000,-0.10%
20-May-19,40467000,40450000,40875000,39689000,0.12%
17-May-19,41155000,40467000,41500000,40300000,-0.14%
16-May-19,40951000,41155000,41350000,40411000,-0.25%
15-May-19,40338000,40950000,41306000,40134000,-0.02%
14-May-19,40086000,40293000,40800000,39750000,-0.18%
13-May-19,40137000,40070000,40722000,39830000,-0.10%
10-May-19,38750000,40136000,40250000,38473000,0.12%
09-May-19,39401000,38756000,39600000,38102000,0.27%
08-May-19,39480000,39405000,39758000,38680000,0.01%
07-May-19,39434000,39500000,39939000,39340000,-0.08%
06-May-19,39536000,39434000,40400000,39300000,-0.02%
03-May-19,39060000,39536000,39892000,38861000,0.21%
02-May-19,39722000,39060000,39950000,38699000,-0.15%
01-May-19,39940000,39721000,40250000,39417000,-0.19%
30-Apr-19,39988000,39942000,40999000,39700000,0.28%
29-Apr-19,39729000,39995000,40150000,39321000,0.33%
26-Apr-19,40008000,39729000,40159000,39565000,0.15%
25-Apr-19,39925000,40008000,40614000,39740000,-0.20%
24-Apr-19,40433000,39925000,40500000,39674000,-0.65%
23-Apr-19,40556000,40412000,40600000,40083000,-0.28%
22-Apr-19,40666000,40560000,41000000,40185000,0.09%
19-Apr-19,39900000,40666000,41251000,39823000,0.15%
18-Apr-19,39586000,39904000,40328000,39580000,-0.58%
17-Apr-19,38501000,39580000,39998000,38497000,0.14%
16-Apr-19,39360000,38512000,39445000,38377000,-0.25%
15-Apr-19,38427000,39360000,39606000,38200000,0.06%
12-Apr-19,38163000,38400000,38987000,38046000,0.44%
11-Apr-19,38870000,38184000,39050000,37579000,-0.19%
10-Apr-19,39253000,38840000,39344000,38280000,0.10%
09-Apr-19,38430000,39253000,39329000,38176000,0.02%
08-Apr-19,38635000,38432000,38893000,38072000,0.40%
05-Apr-19,36093000,38615000,38847000,36000000,-0.04%
04-Apr-19,35642000,36091000,36700000,35300000,-0.12%
03-Apr-19,36574000,35643000,36829000,35414000,0.28%
02-Apr-19,34519000,36555000,36700000,33867000,-0.08%
01-Apr-19,34450000,34525000,34794000,31662000,-0.04%
29-Mar-19,34106000,34456000,36150000,33850000,-0.04%
28-Mar-19,35113000,34106000,35550000,33900000,-0.22%
27-Mar-19,35863000,35140000,36375000,34794000,-0.17%
26-Mar-19,36972000,35863000,37041000,35361000,-0.42%
25-Mar-19,36345000,36983000,37342000,36013000,-0.01%
22-Mar-19,35976000,36345000,36612000,35745000,-0.54%
21-Mar-19,36448000,35976000,37018000,35949000,-0.34%
20-Mar-19,34936000,36447000,36590000,34678000,0.55%
19-Mar-19,35500000,34936000,35870000,34805000,0.13%
18-Mar-19,35760000,35500000,35900000,35350000,0.11%
15-Mar-19,35493000,35755000,35855000,35158000,0.19%
14-Mar-19,35800000,35494000,35800000,35033000,-0.20%
13-Mar-19,35999000,35800000,36283000,35650000,0.35%
12-Mar-19,36048000,35999000,36177000,35601000,0.35%
11-Mar-19,35137000,36047000,36121000,35048000,0.08%
08-Mar-19,34648000,35106000,35400000,34250000,0.41%
07-Mar-19,35539000,34650000,35661000,34622000,-1.00%
06-Mar-19,36961000,35539000,37113000,35394000,-0.01%
05-Mar-19,36640000,36970000,37280000,36457000,-0.28%
04-Mar-19,36475000,36641000,37000000,36051000,-0.33%
01-Mar-19,37750000,36461000,38388000,36389000,0.05%
28-Feb-19,37119000,37750000,37970000,37116000,0.02%
27-Feb-19,36054000,37119000,37185000,35764000,-0.16%
26-Feb-19,35276000,36054000,36594000,35150000,0.25%
25-Feb-19,35323000,35276000,35926000,34900000,0.14%
22-Feb-19,35576000,35323000,36250000,35100000,0.06%
21-Feb-19,35633000,35544000,35819000,34808000,-0.01%
20-Feb-19,35755000,35603000,36020000,35247000,-0.04%
19-Feb-19,35923000,35755000,36364000,35392000,0.27%
18-Feb-19,35433000,35929000,36026000,35237000,0.14%
15-Feb-19,35430000,35433000,35610000,35012000,-0.05%
14-Feb-19,34541000,35414000,35423000,34500000,0.30%
13-Feb-19,34123000,34542000,34763000,33235000,-0.51%
12-Feb-19,34559000,34138000,34735000,33500000,0.43%
11-Feb-19,34300000,34596000,35474000,34060000,-0.48%
08-Feb-19,35130000,34293000,35202000,33726000,-0.10%
07-Feb-19,34859000,35140000,35499000,34714000,-0.18%
06-Feb-19,34942000,34859000,35150000,34341000,-0.46%
05-Feb-19,35250000,34942000,35555000,34659000,-0.20%
04-Feb-19,36013000,35252000,36099000,35002000,-0.16%
01-Feb-19,36624000,36012000,37186000,35850000,0.09%
31-Jan-19,37252000,36631000,37798000,36605000,-0.29%
